BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA133183,Zea mays Transcriptome or Gene expression,"Background: Plant diurnal rhythms are vital environmental adaptations to coordinate internal physiological responses to alternating day-night cycles. A comprehensive view of diurnal biology has been lacking for maize (Zea mays), a major world crop. Methodology: A photosynthetic tissue, the leaf, and a non-photosynthetic tissue, the developing ear, were sampled under natural field conditions. Genome-wide transcript profiling was conducted on a high-density 105K Agilent microarray to investigate diurnal rhythms. Overall design: The top-most fully expanded leaf from each plant collected. Plants were sampled every 4 hours over 3 days. Our sampling times were: 6 am (dawn), 10 am, 2 pm, 6 pm, 10 pm and 2 am. Tissues were collected from three field reps and within each field rep we collected samples from three individual plants",2010-09-02T00:00:00Z,Transcriptome or Gene expression,Pioneer Hi-Bred International,yes,GSE23917,SUB071779
PRJNA133181,Zea mays Transcriptome or Gene expression,"Background: Plant diurnal rhythms are vital environmental adaptations to coordinate internal physiological responses to alternating day-night cycles. A comprehensive view of diurnal biology has been lacking for maize (Zea mays), a major world crop. Methodology: A photosynthetic tissue, the leaf, and a non-photosynthetic tissue, the developing ear, were sampled under natural field conditions. Genome-wide transcript profiling was conducted on a high-density 105K Agilent microarray to investigate diurnal rhythms. Overall design: The top-most immature ear, 4-5 cm in length, was collected. Plants were sampled every 4 hours over 3 days. Our sampling times were: 6 am (dawn), 10 am, 2 pm, 6 pm, 10 pm and 2 am. Tissues were collected from three field reps and within each field rep we collected samples from three individual plants",2010-09-02T00:00:00Z,Transcriptome or Gene expression,Pioneer Hi-Bred International,yes,GSE23916,SUB071778
PRJNA130371,Zea mays Transcriptome or Gene expression,"Despite the economic importance of grasses as food, feed and energy crops, little is known about the genes that control their cell wall synthesis, assembly and remodelling. Here we provide a detailed transcriptome analysis that allowed the identification of genes involved in grass cell wall biogenesis. Differential gene-expression profiling, using maize oligonucleotide arrays, was used to identify genes differentially expressed between an elongating internode, containing cells exhibiting primary cell wall synthesis, and an internode that had just ceased elongation and in which many cells were depositing secondary cell wall material. This is one of only few studies specifically aimed at the identification of cell wall-related genes in grasses. Analysis identified new candidate genes for a role in primary and secondary cell wall-related processes in grasses. The results suggest that many proteins involved in cell wall-related processes during normal development are also recruited during defence-related cell wall remodelling events. The data presented provide a platform for future studies in which candidate genes can be tested for involvement in cell wall processes through forward and reverse genetic-based approaches, contributing towards a better understanding of cell wall biogenesis and its regulation in grasses. Overall design: The experiment consisted of six biological replicates (internode 9 and internode 13 were harvested from six maize plants). Dye-swaps were performed (in 3 slides, internode 9 RNA was labelled with Cy3 and internode 13 RNA was labelled with Cy5; in 3 other slides, internode 13 RNA was labelled with Cy3 and internode 9 RNA was labelled with Cy5).",2011-03-06T00:00:00Z,Transcriptome or Gene expression,"Institute of Biological, Environmental & Rural Sciences, Aberystwyth University",yes,GSE24014,SUB071870
PRJNA129931,Zea mays Transcriptome or Gene expression,"Phenotypes of maize male sterile 8 plants are small anthers, meiotic failure, shorter epidermal cells, and non-secreting tapetal cells. Excess callose accumulates around meiotic cells, which later abort. Thousands of transcriptome changes occur including ectopic activation of genes not expressed in fertile siblings, failure to express genes, and differential expression of genes shared with fertile siblings. Sixty-three differentially expressed proteins were identified after 2-D DIGE followed by LC/MS/MS, including those involved in metabolism and cell division. The majority were not identified by differential RNA expression. Keywords: anther development, maize, male-sterile, ms8 Overall design: 4 replicates of ms8 mutant and 4 replicates of ms8 fertile siblings at 3 anther stages. Spike-in controls were included.",2010-08-20T00:00:00Z,Transcriptome or Gene expression,"Walbot, Bio Sci, Stanford University",yes,GSE23615,SUB162923
PRJNA127799,Zea mays Transcriptome or Gene expression,"affy_ams_maize - aafy_ams_maize - Main objectives of this study: - role of plant cell wall during AM symbiosis - regulation pattern during AM symbiosis - understanding of the original mycorrhizal phenotype of bm4 - search of candidate-genes to study AM symbiosis-After 7 days in phytochambers, plantlets were transplanted in 2L of humidified bedrock with 3000 spores for inoculation conditions or without spore for mock conditions then plants have grown in greenhouse. Maize roots have been sampled 7 weeks post-inoculation and freezed in liquid nitrogen then stocked at -80°C. Total RNA was isolated from frozen root tissue by using the RNeasy Plant Mini Kit (Qiagen) following the manufacturer’s instructions. Keywords: treated vs untreated comparison Overall design: 8 arrays - maize",2011-05-03T00:00:00Z,Transcriptome or Gene expression,inra,yes,GSE22950,SUB071105
PRJNA127785,Zea mays Transcriptome or Gene expression,"Aerenchyma is a specialized tissue consisting of longitudinal gas spaces, which enables internal movement of gases (e.g., O2, CO2, ethylene and methane), in plant roots, petioles and stems. Especially, internal transport of oxygen via aerenchyma from shoots to roots is very important for adaptation or survival of plants under waterlogged condition. To identify aerenchyma formation-associated genes expressed in maize root, we used LM combined with a microarray for monitoring genes expressed in root cortical cells under three conditions: under aerobic condition and under waterlogged condition with and without pretreatment with 1-MCP, an inhibitor of ethylene perception. Overall design: For the waterlogging treatments, the primary root (but not the shoots) was waterlogged. Two and half day-old-seedlings were pre-treated with an inhibitor of ethylene perception 1-methylcyclopropene (1-MCP; 1 ppm) for 12 hours before the waterlogging treatment. Three-day-old seedlings were growing under aerated condition at the same time with other treatments as a control. Total RNA was extracted from root cortex cells from the segment of the primary root, 0.5 cm long: from 1.5 to 2 cm from the junction shoot-root derived from 3-days-old maize seedlings, and subjected to 44k oligo-DNA microarray (1. Aerated vs Hypoxia, 2. Hypoxia+MCP vs Hypoxia) with 3 biological replicates and color swaps.",2010-08-01T00:00:00Z,Transcriptome or Gene expression,"Plant Breeding and Genetics, Graduate School of Bioagricultural Sciences, Nagoya University",yes,GSE22943,SUB15323072
PRJNA122421,Zea mays Transcriptome or Gene expression,"The fungal pathogen Fusarium moniliforme causes ear rot in maize. Ear rot in maize is a destructive disease globally caused by Fusarium moniliforme , due to decrease of grain yield and increase of risks in raising livestock by mycotoxins production. Plants have developed various defense pathways to cope with pathogens. We used microarrays to detail the global programme of gene expression during the infection process of Fusarium moniliforme in its host plant to get insights into the defense programs and the host processes potentially involved in plant defense against this pathogen. Overall design: In two compared independent experiments plants were infected with the Fusarium moniliforme. Samples from infected bracts of resistant maize (Bt-1) as well as susceptible maize (Ye478) were taken at 4 days post infection. Samples from uninfected control plants were taken at the same time points. For example: R0 (control) and RT (treat) in Bt-1 and S0 (control) and ST (treat) in Ye478.",2009-12-16T00:00:00Z,Transcriptome or Gene expression,"Key Laboratory of Crop Genetic Resources and Improvement, Maize Research Institute, Sichuan Agricultural University",yes,GSE19501,
PRJNA122403,Zea mays Transcriptome or Gene expression,"Ustilago maydis is a plant-pathogenic fungus that establishes a biotrophic relationship with its host Zea mays. The biotrophic interaction is initiated upon host penetration, and involves expansion of the host plasma membrane around hyphae, which is thought to facilitate the exchange of nutrients and virulence factors. Transcriptional regulators involved in the establishment of an infectious dikaryon and penetration into the host have been identified, however, regulators involved in the post-penetration stages remained to be elucidated. In the study we report the identification of an Ustilago maydis forkhead transcription factor, Fox1, which is exclusively expressed during biotrophic development. Deletion of fox1 results in reduced virulence and impaired tumour development in planta. Δfox1 hyphae induce plant defences including the overproduction and accumulation of H2O2 in and around infected cells. This oxidative burst acts as an intercellular signal, which elicits a specific host defence response phenotypically represented by the encasement of proliferating hyphae in extensions of the plant cell wall. Maize microarrays experiments were performed to identify genes involved in the observed plant defence responses on leaf tissue infected with U. maydis strain SG200∆fox1 4 dpi. Overall design: In three independent experiments plants were infected with the U. maydis strain SG200 and SG200∆fox1, respectively. Samples from infected leaves were taken at 4 days post infection. Samples from uninfected control plants were taken at the same time points.",2010-12-31T00:00:00Z,Transcriptome or Gene expression,"Department for Applied Biosciences, University of Karlsruhe",yes,GSE19559,SUB283368
PRJNA122021,Zea mays Transcriptome or Gene expression,"Aflatoxin contamination caused by the opportunistic pathogen A. flavus is a major concern in maize production prior to harvest and during storage. Previous studies indicate that both constitutive and induced resistance are involved in maize kernel defense against A. flavus infection, little is known about molecular mechanisms of mature kernels in response to fungal infection. The purpose of this study is to determine gene expression differences in maize kernels between resistant and susceptible lines in response to A. flavus challenge. To avoid the environmental effects in the field inoculation, a laboratory based inoculation technique Kernel Screening Assay (KSA) was used to challenge kernels with A. flavus. After 72 hours incubation of inoculated and noninculated mature kernels, gene expression profiles of two Near Isogenic Lines (NIL) of Eyl25 (A. flavus resistant) and Eyl31 (A. flavus susceptible) were compared using oligonucleotide array. Overall design: Direct comparisons were designed. The comparisons of NIL Eyl25 and Eyl31 include: Treated/Control, Control/Control and Treated/Treated. After 72 hours incubation under KSA conditions, forty seeds used in each A. flavus inoculated and noninculated group were bulked to extract total RNA. Four technical replications were performed in each comparison including two dye-swaps, total 16 hybridization reactions.",2010-10-01T00:00:00Z,Transcriptome or Gene expression,"FFS, SRRC, USDA-ARS",yes,GSE19883,SUB068293
PRJNA121185,Zea mays Transcriptome or Gene expression,"Maize, <i>Zea mays</i>, is one of the most widely grown crops in the world as it provides cereal grain for human purposes and feedstock for cattle. Maize is increasingly used as a biomass fuel, such as ethanol. Studies have shown that maize stem is made up of different lignified cell types: epidermis, sclerenchyma (a few layers under the epidermis and surrounding vascular bundles in the rind), parenchyma (mostly lignified near the epidermis). One of the aims of this work is to find out if it is the proportion of these different cell types or their number (especially for vascular bundles) which influences the degree of digestibility of maize lines. For that the objective of our work is to develop a genomic strategic approach allowing an improvement of traits involved in cell wall degradability. The work will include the mapping of genes considered as strategic in the cell wall biosynthesis, the search of new genes of interest through bio-analysis, the functional analysis of genes suspected to be of importance in cell wall pathway, the search of candidate underlying QTL, and transcriptomic approaches in order to find genes co-regulation, transcription, and eQTL.-Comparison of 2 maize lines : Cm484: good digestibility F98902: bad digestibility at the following development stage : 21 days after sowing -7 leaves- Keywords: genotype comparaison Overall design: 4 arrays - maize",2011-06-01T00:00:00Z,Transcriptome or Gene expression,"URGV, INRA",yes,GSE18846,SUB067470
PRJNA120827,Zea mays Transcriptome or Gene expression,"Segmental aneuploidy refers to the relative excess or deficiency of specific chromosome regions. This condition results in gene dosage imbalance and often causes severe phenotypic alterations in plants and animals. The mechanisms by which gene dosage imbalance effects gene expression and phenotype are not completely clear. The effects of aneuploidy on the transcriptome may depend on the types of cells analyzed and on the developmental stage. We performed global gene expression profiling to determine the effects of segmental aneuploidy on gene expression levels in two different maize tissues and a detailed analysis of expression of 30 genes affected by aneuploidy in multiple maize tissues. Multiple genes demonstrated qualitative changes in gene expression due to aneuploidy, when the gene became ectopically expressed or erroneously transcriptionally silenced in aneuploids relative to wild type plants. Our data strongly suggested that quantitative changes in gene expression at developmental transition points caused by variation in gene copy number progressed through tissue development and resulted in stable qualitative changes in gene expression patterns. Thus, aneuploidy in maize results in alterations of gene expression patterns that differ between tissues and developmental stages of maize seedlings. Overall design: RNA was extracted from meristem tissues of 14 day-old maize seedlings segregating for segmental trisome of a short arm of chromosome 5. There are three biological replicates of pooled wild-type siblings and three biological replicates of pooled DpDf plants. The DpDf plants are segmental aneuploids that contain three copies of the short arm of chromosome 5. These plants are all in the B73 inbred genetic background.",2010-01-01T00:00:00Z,Transcriptome or Gene expression,"Biology, Hamline University",yes,GSE19212,SUB067768
PRJNA120041,Zea mays Transcriptome or Gene expression,We demonstrated the manifestation of heterosis in hybrid maize embryo and endosperm tissue six days after fertilization in crosses of several inbred lines. Here we analyzed heterosis-associated gene expression pattern in these tissues of reciprocal crosses of two european maize inbred line combinations. Differences in gene expression were analyzed with custom microarrays by a combined approach of suppression subtractive hybridization and microarray hybridizations Overall design: Analysis used isolated embryos and endosperm samples for a total of 48 microarray hybridizations of hybrid genotypes generated by reciprocal crosses of UH301/UH005 and UH250/UH301 and the corresponding inbred lines. The investigations are based on two biological replicates of the UH250/UH301 genotype combination and four biological replicates of the UH301/UH005 genotype combination. The hybridization experiments employed a loop design.,2009-08-28T00:00:00Z,Transcriptome or Gene expression,"Developmental Biology and Biotechnology, Biocenter Klein Flottbek, University of Hamburg",yes,GSE17821,SUB066651
PRJNA119855,Zea mays Transcriptome or Gene expression,"MicroRNAs (miRNAs) are small non-coding RNAs that play essential roles in plant growth and development. We conducted a genome-wide survey of maize miRNA genes, characterizing their structure, expression, and evolution. Computational approaches based on homology and secondary structure modeling identified 150 high-confidence genes within 26 miRNA families. For 25 families, expression was verified by deep-sequencing of small RNA libraries that were prepared from an assortment of maize tissues. PCR-RACE amplification of 68 miRNA transcript precursors, representing 18 families conserved across several plant species, showed that splice variation and the use of alternative transcriptional start and stop sites is common within this class of genes. Comparison of sequence variation data from diverse maize inbred lines versus teosinte accessions suggest that the mature miRNAs are under strong purifying selection while the flanking sequences evolve equivalently to other genes. Since maize is derived from an ancient tetraploid, the effect of whole-genome duplication on miRNA evolution was examined. We found that, like protein-coding genes, duplicated miRNA genes underwent extensive gene-loss, with ~35% of duplicate homeologous miRNA genes retained. This number is higher than that observed with protein-coding genes. A search for putative miRNA targets indicated a bias towards genes in regulatory and metabolic pathways. As maize is one of the principal models for plant growth and development, this study will serve as a foundation for future research into the functional roles of miRNA genes. Overall design: Surveying miRNA genes in 5 maize tissues (root, seedling, tassel, ear, and pollen) by sequencing small RNA libraries using the Illumina Genome Analyzer",2009-11-23T00:00:00Z,Transcriptome or Gene expression,"Ware Lab, Cold Spring Harbor Laboratory",yes,GSE17943,SUB541101
PRJNA118397,Zea mays Transcriptome or Gene expression,"In the current study a microarray (46k, University of Arizona, USA) analysis of 21 European maize (Zea mays L.) parental inbred lines (14 dent and 7 flint) was applied. The aim was the identification of parental genes which expression levels are correlated to heterosis and/or hybrid performance for grain yield (GY) and grain dry matter content (GDMC) in the hybrid progeny (F1). Therefore gene expression profiles of differentially expressed genes of the parental inbred lines at the seedling stage were correlated with GY- and GDMC-field data of 98 flint x dent factorial crosses gained at six different locations in Germany. The identification of heterosis-correlated genes is an approach for the characterization and also for the prediction of this phenomenon. For the analyses total RNA of seven days old seedlings was extracted and aminoallyl-labeled RNA probes were synthesized. RNA labeling (Cy3, Cy5) and hybridizations were performed according to the protocol of the maize oligonucleotide array project (http://www.maizearray.org). The microarrays were scanned (AppliedPrecision ArrayWorx Scanner, Applied Precision Inc., USA) and data were evaluated using the Software GenePix Pro 4.0 (Molecular Devices, Sunnyvale, USA). An experimental interwoven loop design was developed aiming to yield in a preferably low average variance among the hybridizations, especially between intergroup (dent lines vs. flint lines) hybridizations. As a result 12288 (28.3%) of the genes showed differential expression between any combination of inbred lines. These differentially expressed genes were used for subsequent field data correlation analyses. Overall design: Five plants of each of the 21 inbred lines (7 flint lines: F037, F039, F043, F047, L024, L035, L043; 14 dent lines: P033, P040, P046, P048, P063, P066, S028, S036, S044, S046, S049, S050, S058, S067) were grown for seven days in a climate chamber (Percival Scientific Inc., Perry, USA) under regulated growth conditions (25℃ 16h-day, 21℃ 8h-night, 70% air humidity). Since we aimed for the identification of genotype-dependent expression differences in inbred lines and for diminishing individual expression variations, the five biological replicates were pooled before target labeling and hybridization. Whole tissue of 7-days old seedlings was used. The pooled tissue was frozen in liquid nitrogen and finely pounded. The complete RNA was isolated and used to synthesize aminoallyl-labeled RNA (aaRNA) following the ""Amino Allyl MessageAmp II aRNA Amplification Kit"" protocol (Applied Biosystems/Ambion, Austin, USA). Synthesised aaRNA was coupled with fluorescence dyes Cy3 or Cy5. In total 63 hybridizations were realized in an interwoven loop design, in which the dye used for each genotype was alternated to reduce systematic bias. The loop was designed in a way that each dent line was sampled 5 times and each flint line 8 times. In addition to every direct connection between dent and flint lines, multiple indirect connections of three or more hybridizations were realized.",2010-08-21T00:00:00Z,Transcriptome or Gene expression,"Developmental Biology and Biotechnology, Biocenter Klein Flottbek, University of Hamburg",yes,GSE17754,SUB5887196
PRJNA117571,Zea mays Transcriptome or Gene expression,"All above ground organs of higher plants are ultimately derived from shoot apical meristems (SAMs). The SAM exhibits distinctive structural organization, and monocot SAMs such as maize are comprised of two cell layers, a single cell layered tunica (L1) and a corpus (L2). Although recent research has revealed roles of these cell layers in the SAM, intra- and inter-cell-layer signaling networks involved in organ development remain largely unknown except for a few differentially expressed genes. Here, we used Illumnia technology to conduct RNA-seq of L1 and L2 cell layers in maize B73 maize shoot apical meristem. Overall design: Single sequencing library was constructed for L1 and L2 cell layer. Each library was sequenced using 2 lanes on a Solexa flow cell. Processed data file 'ZmB73_4a.53_filtered_genes.fasta' and its README file are linked below as supplementary files. The fasta file contains the gene model ID and corresponding sequence generated from maize genome project. This fasta file was used for the following samples: GSM418173, GSM418174, GSM420173, GSM420174, GSM422828, GSM422829.",2009-06-27,Transcriptome or Gene expression,Iowa State University,yes,GSE16868,SUB161830
PRJNA117103,Zea mays Transcriptome or Gene expression,"In order to elucidate the molecular mechanism of auxin-induced mesocotyl elongation, gene expression profiling analyses were performed in a deep-sowing tolerant maize inbred line 3681-4. Gene expression studies combing Affymetrix GeneChip analysis and Real-time PCR were employed to determine the molecular mechanism underlying IAA promotion of maize mesocotyl elongation. Under deep-sowing condition, IAA is transported by auxin transporter-like protein 1 and binds to auxin binding protein ABP20, which results in degradation of Aux/IAA and de-repressing of auxin-inducible genes. Then, transcriptional factor such as MYB, kinase such as LRR, fructose and mannose metabolism and so on are activated. Finally, genes involved in cell wall synthesis and modification are expressed so that mesocotyl elongation of 3681-4 is promoted. Furthermore, gene expression of a key enzyme ACO in ethylene biosynthesis and ethylene receptor ETR2 were up-regulated after the treatment with 10-4 M IAA, which suggested that mesocotyl elongation of 3681-4 inclined to be inhibited when the concentration of applied IAA was increased from 10-4 M to 10-3 M. Overall design: In two independent experiments, we generate 10-day-old maize mesocotyl-specific gene expression profiles through comparing genome-wide expression patterns of IAA treatment and TIBA (an auxin transportation inhibitor) treatment under 20 cm deep-sowing condition in darkness by using 17,555 Affymetrix maize whole genome array.",2009-03-26T00:00:00Z,Transcriptome or Gene expression,"Maize Molecular Biology, Institute of Crop Sciences, Chinese Academy of Agricultural Sciences",yes,GSE15371,SUB065089
PRJNA116209,Zea mays Transcriptome or Gene expression,"To understand the transcriptome changes during drought tolerance in maize, the drought-tolerant line Han21 and drought-sensitive line Ye478, which show substantial differences in drought tolerance at the seedling stage, were selected for this study. Using the GeneChip Maize Genome Arrays, we applied genome-wide gene expression analysis to the two genotypes under gradual drought stress and re-watering. We identified 2172 common regulated transcripts in both lines under drought stress, with 1084 common up-regulated transcripts and 1088 common down-regulated transcripts. Among the 2172 transcripts, 58 potential protein kinases and 117 potential transcription factors were identified. The potential components of the ABA signaling pathway were identified from the common regulated transcripts. We also identified 940 differentially regulated transcripts between the two lines. Among the 940 transcripts, the differential expression levels of 29 transporters and 15 cell wall-related transcripts may contribute to the different tolerances of the two lines. Additionally, we found that the drought-responsive genes in the tolerant Han21 line recovered more quickly when the seedlings were re-watered, and 311 transcripts in the tolerant Han21 line were exclusively up-regulated at the re-watering stage compared to the control and stress conditions. Our study provides a global characterization of two maize inbred lines during drought stress and re-watering and will be valuable for further study of the molecular mechanisms of drought tolerance in maize. Overall design: In two independent experiments, we generate maize gene expression profiles during drought stress and re-watering through comparing genome-wide expression patterns of drought stress treatment and re-watering treatment by using 17,555 Affymetrix maize whole genome array.",2010-06-03T00:00:00Z,Transcriptome or Gene expression,"Maize Molecular Biology, Institute of Crop Sciences, Chinese Academy of Agricultural Sciences",yes,GSE16567,SUB066184
PRJNA114975,Zea mays Transcriptome or Gene expression,"The following study was conducted to better understand the genetic response of maize roots to nitrate availability. To do so, an array was designed and created by the Plant Sciences Institute at Iowa State University. This custom array contained 7,888 informative spots of cDNA obtained from NSF Plant Genome EST projects led by Ginny Walbot and Pat Schnable. RNA was collected from root tissue at two time points: 30 minutes and 24 hours. At each time point, transcript profiles were compared between root tissues treated with 5mM calcium nitrate and controls treated with 5mM calcium sulfate. Keywords: Nutrient response in maize roots Overall design: For each comparison, 6 replicates and multiple power settings were considered. Dye-swaps were performed between replicates.",2009-03-10,Transcriptome or Gene expression,Iowa State University,yes,GSE15167,SUB783730
PRJNA114815,Zea mays Transcriptome or Gene expression,"In order to elucidate the molecular mechanism of gibberellin (GA)-induced mesocotyl elongation, gene expression profiling analyses were performed in a deep-sowing tolerant maize inbred line 3681-4. Gene expression studies combing Affymetrix GeneChip analysis and Real-time PCR were employed to determine the molecular mechanism underlying GA promotion of maize mesocotyl elongation. These studies showed that the GA receptor GID1, the transcriptional factor MYB, and the genes encoding DELLA protein DWRF8, kinases, Raf, LRR, RLCK, and involved in flavonoid biosynthesis, aminosugars metabolism, cell wall synthesis and modification, might play critical roles in maize mesocotyl elongation. Overall design: In two independent experiments, we generate 10-day-old maize mesocotyl-specific gene expression profiles through comparing genome-wide expression patterns of GA3 treatment and UCZ (a GA biosynthesis inhibitor) treatment under 20 cm deep-sowing condition in darkness by using 17,555 Affymetrix maize whole genome array.",2009-03-07T00:00:00Z,Transcriptome or Gene expression,"Maize Molecular Biology, Institute of Crop Sciences, Chinese Academy of Agricultural Sciences",yes,GSE15048,SUB063236
PRJNA113465,Zea mays Transcriptome or Gene expression,"Most endogenous siRNAs in Arabidopsis are dependent on RNA-DEPENDENT RNA POLYMERASE 2 (RDR2) for their biogenesis. Recent work has demonstrated that the maize MEDIATOR OF PARAMUTATION1 (mop1) gene is a predicted ortholog of the Arabidopsis RDR2 gene. The mop1 gene is required for establishment of paramutation and maintenance of transcriptional silencing of transposons and transgenes, suggesting the potential involvement of small RNAs. We analyzed small RNAs in wildtype maize and in the isogenic mop1-1 loss-of-function mutant using Illumina’s sequencing-by-synthesis (SBS) technology, which allowed us to characterize the complement of maize small RNAs to considerable depth. Similar to rdr2 in Arabidopsis, in mop1-1, the 24 nt (nucleotide) endogenous heterochromatic short-interfering siRNAs were dramatically reduced resulting in an enrichment of miRNAs and trans-acting siRNAs (ta-siRNAs). In contrast to the Arabidopsis rdr2 mutant, the mop1-1 plants retained a highly abundant heterochromatic ~22 nt class of small RNAs. These data suggest that maize, unlike Arabidopsis, has a second mechanism for heterochromatic siRNA production. The enrichment of miRNAs and loss of 24 nt heterochromatic siRNAs in mop1-1 should be advantageous for miRNA discovery as the maize genome becomes more fully sequenced. Overall design: This library was derived from maize variety K55 wild-type and mop1 mutant. Immature ears were harvested from plants grown outdoors in Tuscon, AZ. The material was harvested from plants 68 days after germination, with the floral tissue including young tassels 2-3 cm long. Total RNA was isolated using a standard TRIZOL-based method and the small RNA libraries were generated as described by Lu et al. (Methods 2007, 43:110), followed by sequencing with Illumina's SBS method. The adapter sequences were removed, and the abundance of each distinct small RNA was determined. Raw data are unavailable from Illumina",2008-10-01T00:00:00Z,Transcriptome or Gene expression,"DBI, Plant and Soil Sciences, University of Delaware",yes,GSE12173,SUB452915
PRJNA112629,Zea mays Transcriptome or Gene expression,"Global gene expression profiles of seven stages representing 29 days of anther development are analyzed using a 44K oligonucleotide array querying ~80% of maize protein-coding genes. Each anther stage expresses ~10,000 constitutive and ~10,000 or more transcripts restricted to one or a few stages. Keywords: anther development, maize Overall design: 4 replicates of 7 samples (6 anther stages plus mature pollen) were hybridized to a 44K Agilent array according to the A-optimal design recommended by Kerr and Churchill for 7 samples.",2008-12-01T00:00:00Z,Transcriptome or Gene expression,"Walbot, Bio Sci, Stanford University",yes,GSE12579,SUB063016
PRJNA112187,Zea mays Transcriptome or Gene expression,"Transcriptional profiling of three mexican maize landraces under 10, and 17 days stress and recovery irrigation Overall design: A dye balanced modified loop design was implemented. Two biological replicates (pooling five representative plants) representing each sampling point for each genotype were obtained for purified RNA from 120 randomly chosen seedlings. This experiment involved a total of forty-eight (24 sets) of microarray hybridizations, including direct and dye swap comparisons between treatments as well as across the three landraces. This design allowed us to determine differences in gene expression between the three different landraces under drought stress (10 and 17 days) and at recovery irrigation compared to irrigated controls.",2010-01-01T00:00:00Z,Transcriptome or Gene expression,"Plant Molecular Genetics, Plant Genetic Engineering, Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional",yes,GSE14728,SUB063478
PRJNA111009,Zea mays Transcriptome or Gene expression,"Agilent oligonucleotide arrays were used to profile gene expression in dissected maize anthers of 3 types of male-sterile plants and their fertile siblings at four stages of development: after anther initiation, at the rapid mitotic proliferation stage, pre-meiosis, and meiotic prophase I. The male-sterile mutants (ms23, msca, and mac1) lack a range of normal cell types resulting from a temporal progression of anther failure. By combining the data sets from the comparisons between individual sterile and fertile anthers, candidate genes predicted to play important roles during maize anther development were assigned to stages and to likely cell types. Keywords: anther development, maize, male sterility Overall design: 3 biological replicates of 3 different male-sterile mutants and their fertile siblings at 4 stages of anther development (36 arrays). Comparisons were done between male-sterile and fertile sibs at the same development stage.",2008-09-16T00:00:00Z,Transcriptome or Gene expression,"Walbot, Bio Sci, Stanford University",yes,GSE12756,SUB062878
PRJNA110887,Zea mays Transcriptome or Gene expression,"The basidiomycete Ustilago maydis causes smut disease in maize. Colonization of the host plant is initiated by direct penetration of cuticle and cell wall of maize epidermis cells. The invading hyphae are surrounded by the plant plasma membrane and proliferate within the plant tissue. We identified a novel secreted protein, termed Pep1. Disruption mutants of pep1 are not affected in saprophytic growth and develop normal infection structures. However, Δpep1 mutants fail to penetrate the epidermal cell wall and elicit a strong plant defense response. Using Affymetrix maize arrays we identified about 110 plant genes which are differentially regulated in Δpep1 and wild type infections during the penetration stage. Overall design: In three independent experiments plants were infected with the strain SG200Dpep1 which is derived from the solopathogenic U. maydis strain SG200. Samples from infected leaves were taken at 24 hours post infection. Samples were treated under the same conditions as described previously.",2008-09-25T00:00:00Z,Transcriptome or Gene expression,"Organismic Interactions, Max Planck Institue for Terrestiral Microbiology",yes,GSE12892,SUB062725
PRJNA109655,Zea mays Transcriptome or Gene expression,"MuDR/Mu are a highly active transposon family moving by either cut only (or cut-and-paste) in strictly somatic tissues or net replicative transposition (absence of excision alleles) in reproductive tissues. Aside from the MuDR-encoded MURA and MURB proteins, other factors required for Mu transposition, particularly those contributing to the developmentally specific behavior, have yet to be identified. To address this question and assess the impact of a highly active transposon on the transcriptome, RNA was extracted from anthers at three developmental stages in Mu-active and -inactive stocks and compared on a 44,000 element oligonucleotide array. We found that approximately 30,000 unique genes are expressed at each stage. Of the ~10% (ca. 3000) differentially regulated transcripts per stage, there was approximately equal representation by the active or inactive individuals. Keywords: anther development, maize, Mu, transposon Overall design: Dye swap design with 4 replicates comparing Mu-active to -inactive lines at 3 anther stages. Spike-in controls were included.",2009-05-01T00:00:00Z,Transcriptome or Gene expression,"Walbot, Bio Sci, Stanford University",yes,GSE13118,SUB1231510
PRJNA108413,Zea mays Transcriptome or Gene expression,"Expression profiling analyses for eight maize inbreds reveals extensive transcriptional variation. Many genes exhibit presence-absence variation among the inbred lines. Keywords: Genotype comparison series Overall design: Affymetrix expression profiling was used to study gene expression in aerial tissue from 11-day seedlings of maize. Three biological replicates were performed for eight different inbred lines; B37, B73, B84, Mo17, Oh43, B14a, Wf9 and W22.",2008-01-26T00:00:00Z,Transcriptome or Gene expression,University of Minnesota,yes,GSE10237,SUB061068
PRJNA108411,Zea mays Transcriptome or Gene expression,"Expression profiling analyses for 5 maize inbreds and 4 hybrids, chosen to represent diversity in genotypes and heterosis responses, revealed a correlation between genetic diversity and transcriptional variation. The majority of differentially expressed genes in each of the different hybrids exhibited additive expression patterns, and ~25% exhibited statistically significant non-additive expression profiles. Among the non-additive profiles, ~80% exhibited hybrid expression levels between the parental levels, ~20% exhibited hybrid expression levels at the parental levels and ~1% exhibited hybrid levels outside the parental range. These findings indicate that the frequencies of additive and non-additive expression patterns are very similar across a range of hybrid lines. Keywords: Genotype comparison series Overall design: Affymetrix expression profiling was used to study gene expression in aerial tissue from 11-day seedlings of maize. Three biological replicates were performed for nine different genotypes; B37, B73, B84, Mo17, Oh43, B37xB73, B84xB73, Oh43xB73 and Oh43xMo17.",2008-01-26T00:00:00Z,Transcriptome or Gene expression,University of Minnesota,yes,GSE10236,SUB061067
